Age	Baths	DaysOffMkt	Garage	GLA	GolfCourse	LotSize	OceanView	Sum
-305195.8871	0	-2490968.52	-222185.9057	73581.63537	156094.854	2572858.976	0	1784359.709
-330628.8777	0	-2112163.522	-67880.26351	341738.4092	156094.854	2298092.897	0	2285428.054
-317912.3824	23533.37048	-2267167.55	-67880.26351	-130304.6648	156094.854	2188186.466	215384.4597	1800108.847
-343345.373	0	-2108773.617	-67880.26351	-186859.9728	156094.854	2023468.127	215384.4597	1688262.771
-330628.8777	183131.4097	-2394487.374	-33940.13176	-124787.0738	156094.854	2258056.417	215384.4597	1928998.24
-381494.8589	23533.37048	-2237705.512	-33940.13176	-604951.1563	0	1886654.995	0	652271.2633
-470510.326	23533.37048	-1179272.514	-33940.13176	-630959.3745	0	1886654.995	0	1595680.576
-330628.8777	0	-1747643.058	-67880.26351	-233759.4965	0	2057099.365	0	1677362.226
0	23533.37048	-2039305.04	-33940.13176	-376498.7282	0	2035789.624	0	1609753.651
0	23533.37048	-2016376.304	-33940.13176	-219137.8803	0	2060346.674	0	1814600.285
-50865.98119	23533.37048	-1857469.816	-33940.13176	-235138.8943	0	2066725.623	0	1913018.727
0	23533.37048	-2171636.685	-33940.13176	-235000.9545	0	2066725.623	0	1649855.779
-38149.48589	23533.37048	-1963762.868	-33940.13176	-301065.831	0	2066725.623	0	1753515.234
0	23533.37048	-2297103.313	-33940.13176	-301065.831	0	2066725.623	0	1458324.275
-38149.48589	23533.37048	-1903864.493	-33940.13176	-218999.9405	0	2066725.623	0	1895479.499
0	23533.37048	-2272026.65	-33940.13176	-218999.9405	0	2057526.336	0	1556267.541
0	23533.37048	-2367317.968	-33940.13176	-214034.1086	0	2067890.09	0	1476305.809
-76298.97178	23533.37048	-1554798.873	-33940.13176	-213758.2291	0	2066725.623	0	2211637.345
-50865.98119	23533.37048	-2085214.034	-33940.13176	-379851.3014	0	2035789.624	0	1509626.102
-457793.8307	0	-2240117.541	-33940.13176	-208930.3369	156094.854	2300696.552	0	1516184.123
-483226.8213	0	-1928957.055	-33940.13176	-199274.5526	156094.854	2248374.686	0	1759245.536
-470510.326	47066.74095	-1367337.081	-33940.13176	-675173.3455	156094.854	1929388.786	0	1585764.054
-406927.8495	23533.37048	-2060934.163	-33940.13176	-641102.5796	156094.854	1886502.494	0	923400.5509
-368778.3636	23533.37048	-1742786.433	-67880.26351	-208930.3369	0	2039205.393	0	1674537.923
-317912.3824	23533.37048	-2198050.496	-222185.9057	-480428.4978	0	2126212.698	0	931343.3438
-216180.42	23533.37048	-2232287.535	-67880.26351	-217206.7235	156094.854	2029734.397	0	1475982.236
-483226.8213	0	-2001806.43	-67880.26351	-160651.4155	156094.854	2469442.121	0	1912146.602
-534092.8025	0	-1440051.429	-33940.13176	375433.5012	156094.854	2248374.686	0	2771993.236
-521376.3072	0	-1712729.962	-222185.9057	375433.5012	156094.854	2248374.686	0	2323785.424
-521376.3072	0	-1712729.962	-33940.13176	375433.5012	156094.854	2248374.686	0	2512031.197
-38149.48589	23533.37048	-1962953.43	-33940.13176	-301065.831	0	2066725.623	0	1754324.672
-445077.3354	47066.74095	-1576902.507	-33940.13176	-542531.4325	0	1883494.902	0	1332284.794
0	23533.37048	-1863887.93	-222185.9057	-448901.8468	0	1871740.064	0	1360472.308
-406927.8495	47066.74095	-1860037.062	-33940.13176	-448901.8468	0	1871740.064	0	1169174.472
-343345.373	47066.74095	-2220821.312	-33940.13176	-448901.8468	0	1871740.064	0	871972.6985
-470510.326	70600.11143	-2030903.16	-33940.13176	-526926.5015	156094.854	2085510.488	0	1250099.891
-521376.3072	70600.11143	-1791123.815	-33940.13176	-526926.5015	156094.854	2101961.251	0	1455464.018
-483226.8213	23533.37048	-1856917.119	-33940.13176	-429532.318	156094.854	2057836.86	0	1434023.252
-534092.8025	70600.11143	-1309395.422	-33940.13176	-526926.5015	156094.854	2055275.033	0	1877789.698
-534092.8025	23533.37048	-1485061.348	-33940.13176	-586745.4035	156094.854	2108840.503	0	1648803.599
-508659.8119	70600.11143	-1885281.643	-33940.13176	-586745.4035	156094.854	2108840.503	0	1321083.036
-546809.2978	47066.74095	-1464289.544	-33940.13176	-425494.4504	156094.854	2085464.403	0	1818267.131
-470510.326	70600.11143	-2202256.532	-33940.13176	-586745.4035	156094.854	2055663.189	0	989080.3183
-534092.8025	23533.37048	-1765794.808	-33940.13176	-425494.4504	0	2079922.913	0	1344308.647
-508659.8119	47066.74095	-1866560.203	-33940.13176	-197895.1549	156094.854	2103018.169	0	1699299.02
-445077.3354	47066.74095	-2430667.804	-33940.13176	-197895.1549	156094.854	2103018.169	0	1198773.896
-483226.8213	70600.11143	-2118522.41	-33940.13176	-586745.4035	0	2056965.063	0	905304.9647
-521376.3072	70600.11143	-1836550.837	-33940.13176	-586745.4035	0	2056905.287	0	1149067.276
0	23533.37048	-1958096.805	-33940.13176	-376498.7282	156094.854	2220484.675	0	2031751.791
-50865.98119	23533.37048	-1985617.68	-33940.13176	-235690.6534	156094.854	2043707.997	0	1917396.333
0	23533.37048	-2070944.498	-33940.13176	-214034.1086	156094.854	2035479.099	0	1896363.142
-63582.47648	0	-1631869.244	-33940.13176	-182170.0204	156094.854	2324839.216	0	2569546.754
0	0	-2029484.705	-222185.9057	-182170.0204	156094.854	2311605.181	0	2034033.961
0	0	-1996750.254	-33940.13176	-182170.0204	156094.854	2311605.181	0	2255014.185
-50865.98119	152397.9474	-1805440.21	-33940.13176	-167410.4645	156094.854	2306186.472	0	2557197.044
0	29464.09805	-2148671.801	-33940.13176	-167410.4645	156094.854	2312740.139	0	2148451.251
0	23533.37048	-1895770.118	-33940.13176	-151409.4505	156094.854	2071204.857	0	2169887.938
0	23533.37048	-1895770.118	-33940.13176	-183135.5989	156094.854	2263839.702	0	2330796.634
-38149.48589	0	-1741789.283	-33940.13176	-158582.3188	156094.854	2063687.583	0	2247495.774
0	0	-1816445.244	-33940.13176	-158582.3188	156094.854	2100717.227	0	2248018.943
0	0	-1737120.37	-33940.13176	-150443.8721	156094.854	2380545.087	0	2615310.124
-12716.4953	183131.4097	-1869038.041	-33940.13176	-47159.11095	156094.854	2181906.098	0	2558453.14
-76298.97178	0	-1815902.19	-33940.13176	-187135.8524	0	2264705.653	0	2151603.064
0	23533.37048	-2218111.826	-222185.9057	-232518.0385	0	2173390.356	0	1524282.513
-89015.46708	23533.37048	-1696305.129	-33940.13176	-232380.0988	0	2033305.428	0	2005372.529
-25432.99059	23533.37048	-2172814.372	-33940.13176	-232380.0988	0	2033305.428	0	1592445.762
-12716.4953	23533.37048	-2200558.162	-33940.13176	-232518.0385	0	2029190.979	0	1573166.079
0	23533.37048	-2212855.71	-33940.13176	-265863.8123	0	2070723.625	0	1581771.899
-76298.97178	23533.37048	-1767722.015	-33940.13176	-230035.1226	0	2074294.657	0	1990006.343
-50865.98119	23533.37048	-1832653.11	-33940.13176	-230035.1226	0	2074294.657	0	1950508.239
0	23533.37048	-2216977.612	-33940.13176	-230035.1226	0	2074294.657	0	1617049.718
0	23533.37048	-2277041.983	-33940.13176	-264187.5257	0	2074294.657	0	1522832.944
0	23533.37048	-2136894.937	-33940.13176	-218999.9405	0	2074294.657	0	1708167.575
-63582.47648	23533.37048	-1485061.348	-33940.13176	-301065.831	0	2072780.85	0	2212838.99
0	23533.37048	-1841537.806	-33940.13176	-301065.831	0	2065677.603	0	1912841.761
0	23533.37048	-1942717.493	-33940.13176	-209206.2165	0	2041015.029	0	1878859.115
0	0	-2088463.632	-33940.13176	-187135.8524	0	2188883.048	0	1879517.989
-178030.9342	23533.37048	-1896579.556	-67880.26351	368413.6904	0	2291864.396	215384.4597	2756879.72
-254329.9059	23533.37048	-1347138.651	-67880.26351	-173341.8748	0	2305509.699	0	2486526.931
-165314.4389	23533.37048	-2382363.966	-67880.26351	-173341.8748	0	2305509.699	215384.4597	1755701.543
-165314.4389	23533.37048	-2254472.987	-222185.9057	-171686.5975	0	2297519.898	0	1507567.897
-534092.8025	23533.37048	-1467962.783	-33940.13176	-203412.7459	156094.854	2440445.755	215384.4597	2596224.534
-495943.3166	23533.37048	-1765048.979	-33940.13176	-200653.9504	156094.854	2440445.755	215384.4597	2340046.619
-445077.3354	23533.37048	-2119818.484	-67880.26351	-235138.8943	156094.854	2305777.138	0	1617664.943
-343345.373	23533.37048	-2161037.508	-33940.13176	-214447.9279	156094.854	2029268.61	215384.4597	1671684.91
-368778.3636	47066.74095	-1930575.93	-33940.13176	-230311.0021	156094.854	2064202.612	0	1703933.336
-330628.8777	47066.74095	-2235665.49	-33940.13176	-230311.0021	156094.854	2064202.612	0	1436993.262
-381494.8589	23533.37048	-2101868.222	-33940.13176	-472309.2432	156094.854	2064202.612	0	1254392.937
-343345.373	23533.37048	-2261995.985	-33940.13176	-446902.7657	156094.854	2079728.835	0	1173347.361
0	23533.37048	-1765048.979	-222185.9057	-203412.7459	156094.854	2440445.755	0	2429600.906
-368778.3636	0	-1747506.135	-67880.26351	-233759.4965	0	2036449.488	0	1618699.787
-343345.373	47066.74095	-1831319.846	-33940.13176	-481968.0785	156094.854	2034974.497	0	1547737.219
-330628.8777	47066.74095	-2105428.63	-67880.26351	-188239.3706	156094.854	2033463.019	0	1544622.029
-305195.8871	0	-2077931.692	-67880.26351	-233759.4965	0	2034693.261	0	1350100.479
-368778.3636	0	-1269147.786	-67880.26351	-233759.4965	0	2035469.618	0	2096078.266
-292479.3918	47066.74095	-2188713.138	-33940.13176	-481968.0785	0	2200156.647	0	1250297.205
-330628.8777	23533.37048	-2008534.657	-67880.26351	-225483.11	0	2038972.499	0	1430153.519
-317912.3824	0	-2108630.463	-67880.26351	-221344.9167	0	2038972.499	0	1323379.031
-368778.3636	47066.74095	-1765904.727	-33940.13176	-446902.7657	0	2036721.197	0	1468436.506
-279762.8965	23533.37048	-2037995.662	-67880.26351	-470127.7455	0	2072510.273	0	1240451.633
-305195.8871	23533.37048	-2361048.803	-222185.9057	-188239.3706	156094.854	2290054.369	0	1393187.185
-317912.3824	0	-2038650.351	-67880.26351	-220103.4587	156094.854	2038972.499	0	1550695.455
-305195.8871	0	-2445055.622	-67880.26351	-233759.4965	156094.854	2038972.499	0	1143350.641
0	23533.37048	-2272026.65	-222185.9057	-173065.9953	156094.854	2038972.499	0	1551496.729
-292479.3918	23533.37048	-2210588.827	-222185.9057	-173065.9953	156094.854	2293583.267	0	1575065.928
-394211.3542	23533.37048	-1312723.676	-33940.13176	-459978.8886	0	2052105.85	0	1874959.727
-343345.373	23533.37048	-1963762.868	-67880.26351	-225483.11	0	2038972.499	0	1462208.813
-343345.373	23533.37048	-1869058.681	-33940.13176	-459978.8886	0	2247203.471	0	1564588.323
-343345.373	47066.74095	-1984808.242	-67880.26351	-262511.2391	0	2038972.499	0	1427668.679
-330628.8777	47066.74095	-2208761.168	-222185.9057	-173065.9953	0	2170938.747	215384.4597	1498922.558
-356061.8683	23533.37048	-2013237.864	-67880.26351	-224103.7122	0	2173496.027	0	1535920.246
-406927.8495	47066.74095	-1765794.808	-222185.9057	-196515.7571	0	2222386.059	0	1678203.037
-406927.8495	47066.74095	-1771851.745	-33940.13176	-196515.7571	0	2222386.059	0	1860391.874
-419644.3448	23533.37048	-1255530.321	-33940.13176	-480428.4978	0	2158972.638	0	1993137.271
-419644.3448	23533.37048	-1520845.148	-33940.13176	-480428.4978	0	2158972.638	0	1727822.443
-330628.8777	23533.37048	-1497921.207	-67880.26351	-225483.11	0	2319545.602	0	2221340.072
-241613.4106	23533.37048	-2163981.724	-67880.26351	-225483.11	0	2319545.602	0	1644295.022
-279762.8965	23533.37048	-1266344.932	-67880.26351	-396614.1675	0	2187205.247	0	2200310.915
-254329.9059	23533.37048	-1866883.05	-67880.26351	-396614.1675	0	2187205.247	0	1625205.788
0	23533.37048	-2093909.383	-222185.9057	-446902.7657	156094.854	2009195.992	215384.4597	1641385.179
-330628.8777	47066.74095	-2093909.383	-33940.13176	-446902.7657	156094.854	2009195.992	215384.4597	1522535.446
-419644.3448	0	-1253194.865	-33940.13176	-245748.373	156094.854	2035469.618	0	2239211.315
-406927.8495	0	-1773778.952	-33940.13176	-245748.373	156094.854	2035469.618	0	1731343.724
-406927.8495	0	-1790573.184	-33940.13176	-140926.0275	156094.854	2266609.46	0	2050511.678
-343345.373	47066.74095	-2281119.555	-67880.26351	-166169.0065	156094.854	2266609.46	0	1611431.414
-343345.373	47066.74095	-2026865.949	-67880.26351	-199274.5526	156094.854	2088082.112	0	1654052.126
-432360.8401	47066.74095	-1576902.507	-67880.26351	-207550.9392	156094.854	2277196.689	215384.4597	2411222.751
-356061.8683	0	-2044446.554	-67880.26351	-122028.2783	156094.854	2520761.744	0	2086614.191
-368778.3636	23533.37048	-1848013.306	-33940.13176	-470127.7455	156094.854	2308958.374	215384.4597	1983286.068
-330628.8777	23533.37048	-2346002.805	-33940.13176	-470127.7455	156094.854	2308958.374	0	1308061.595
-343345.373	47066.74095	-2116874.268	-33940.13176	-213068.5302	156094.854	2160737.176	215384.4597	1872229.485
-419644.3448	0	-1225948.072	-33940.13176	-204792.1436	156094.854	2049142.175	0	2321086.894
-419644.3448	23533.37048	-1341926.149	-33940.13176	-431223.7941	156094.854	2081320.747	0	2034389.108
-559525.7931	47066.74095	-1306741.791	-33940.13176	-177204.1885	156094.854	2420395.798	0	2546320.045
-572242.2884	47066.74095	-1427932.371	-33940.13176	-232380.0988	156094.854	2637519.607	0	2574360.869
-584958.7837	0	-1557838.055	-67880.26351	-228241.9055	156094.854	2637519.607	0	2354870.01
-483226.8213	23533.37048	-2054456.888	-33940.13176	-104096.1074	156094.854	2677073.516	0	2181156.349
-546809.2978	0	-1753160.321	-33940.13176	-207550.9392	156094.854	2248374.686	0	1863183.408
-381494.8589	47066.74095	-2208144.964	-67880.26351	-396614.1675	0	2025387.054	0	1018494.098
-343345.373	47066.74095	-2402425.296	-33940.13176	-470127.7455	156094.854	2193381.13	0	1146878.736
-445077.3354	0	-1769924.538	-33940.13176	-446902.7657	156094.854	2176625.52	0	1637050.16
-368778.3636	70600.11143	-2394487.374	-33940.13176	-464506.7778	156094.854	2286049.78	0	1251206.655
-381494.8589	70600.11143	-1909530.556	-33940.13176	-630959.3745	0	2045066.542	0	1159916.289
-445077.3354	47066.74095	-1509314.719	-67880.26351	-427840.8418	0	2358079.127	0	1955207.265
-457793.8307	70600.11143	-1444091.115	-33940.13176	-589346.2253	0	2176625.52	0	1722228.886
-368778.3636	70600.11143	-2010293.648	-33940.13176	-563338.0071	0	2177432.125	0	1271856.643
-368778.3636	47066.74095	-2116558.343	-33940.13176	-448901.8468	156094.854	1871902.62	0	1107060.086
-381494.8589	23533.37048	-2062219.155	-33940.13176	-641362.6618	0	1888692.81	0	793383.9297
-445077.3354	23533.37048	-1399654.569	-33940.13176	-641362.6618	156094.854	1888498.413	0	1548266.497
-381494.8589	47066.74095	-1922481.556	-33940.13176	-552934.7198	0	1874945.929	0	1031335.961
-216180.42	23533.37048	-1858535.994	-33940.13176	-226034.8691	0	2039360.655	0	1728377.168
-241613.4106	23533.37048	-1804413.41	-67880.26351	-497191.3638	0	2041689.588	0	1454299.068
-267046.4012	23533.37048	-1760741.013	-67880.26351	-224103.7122	0	2052557.944	0	1756494.481
-254329.9059	23533.37048	-1645767.18	-67880.26351	-228241.9055	0	2063533.019	0	1891021.691
-241613.4106	23533.37048	-1874584.786	-67880.26351	-228241.9055	0	2063533.019	0	1674920.58
-279762.8965	23533.37048	-1296789.734	-33940.13176	-497191.3638	0	2025387.054	0	1941410.856
-356061.8683	47066.74095	-2270772.817	-33940.13176	-701181.5637	0	1920674.444	0	605959.3613
-419644.3448	47066.74095	-1881427.229	-33940.13176	-701181.5637	156094.854	1920674.444	215384.4597	1303201.787
-381494.8589	70600.11143	-2041468.867	-33940.13176	-630959.3745	0	2087394.825	0	1070306.262
-394211.3542	47066.74095	-1726597.683	-33940.13176	-459305.1341	0	2149906.724	0	1583093.719
